incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
possession of cannabis,5345 s. blackstone,spruce park,2011-07-25T20:22:00Z,7/25/11 8:22 PM,UCPD officer arrested man in park for possession of marijuana,Arrest,A00478,2011-07-25T20:22:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.798237,-87.5900825
robbery,blackstone between 52nd and 53rd,NA,2011-07-26T03:09:00Z,7/26/11 2:50 AM,"Six men, two armed with handguns, took property from two men walking on the sidewalk / Arrest by UCPD",Arrest,A00479,2011-07-26T02:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,41.80023965,-87.59045975
burglary,59th between harper & stony island,NA,2011-07-26T10:53:00Z,7/25/11 12:30 PM to 3:30 PM,"Unknown person(s) entered apartment via window / Took Dell computer,  Nikon camera, and cash",Open,A00480,2011-07-25T12:30:00Z,2011-07-25T15:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.787888,-87.5878707
theft,5706 s. university,reynolds club,2011-07-26T14:16:00Z,7/26/11 11:45 AM to 11:50 AM,Unattended wallet taken from desktop in lobby,Open,A00481,2011-07-26T11:45:00Z,2011-07-26T11:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911239,-87.59821
possession of cannabis,1400 e. 54th st.,NA,2011-07-26T14:50:00Z,7/26/11 2:50 PM,UCPD officers arrested a man for possession of suspect marijuana,Arrest,A00482,2011-07-26T14:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7982113,-87.5915758
theft,1100 e. 57th st.,regenstein library,2011-07-26T16:50:00Z,7/26/11 9:15 AM to 3:15 PM,Wallet taken from computer bag while complainant was in the library / Subsequent unauthorized use of credit cards reported,Open,A00483,2011-07-26T09:15:00Z,2011-07-26T15:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
robbery,kimbark between 55th & 56th,NA,2011-07-27T00:21:00Z,7/27/11 12:05 AM,"Two unknown males, one armed with a handgun, took property from a man and woman on the sidewalk",Open,A00484,2011-07-27T00:05:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,41.7941993,-87.5949026
theft,5807 s. woodlawn,booth school - bike rack,2011-07-27T18:47:00Z,7/27/11 9:10 AM to 6:45 PM,Unknown person cut lock and took bicycle from bike rack,Open,A00485,2011-07-27T09:10:00Z,2011-07-27T18:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891387,-87.5954555
theft,5530 s. ellis,ratner a.c.,2011-07-27T21:09:00Z,7/27/11 7:30 PM to 9:10 PM,Man reported an unknown person took his cell phone while he was in the gym / Cell phone later found at home,Unfounded,A00486,2011-07-27T19:30:00Z,2011-07-27T21:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7940762,-87.6017077
lost property,5848 s. university,kelly hall,2011-07-28T12:18:00Z,7/27/11 5:45 AM to 3:45 PM,Staff member reported losing his wallet,Closed,A00487,2011-07-27T05:45:00Z,2011-07-27T15:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788274,-87.598276
traffic violation,midway pl. near drexel,NA,2011-07-28T13:00:00Z,7/28/11 1:00 PM,UCPD officer arrested a motorist for speeding and expired driver's license,Arrest,A00000,2011-07-28T13:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7723961,-87.7468948
trespassing,cornell at 63rd,NA,2011-07-28T20:52:00Z,7/28/11 8:52 PM,UCPD Officers stopped a motorist for traffic violations and discovered the vehicle had been reported stolen / 5 occupants were arrested,Arrest,A00488,2011-07-28T20:52:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7791978,-87.5908766
theft,57th between kimbark & kenwood,NA,2011-07-29T08:59:00Z,7/28/11 12:15 PM,Unknown person took purse from back pack hung over the back of a chair in bakery / Subsequent use of debit card reported,Open,A00489,2011-07-28T12:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7914497,-87.59403305
theft,blackstone between 60th & 61st,NA,2011-07-29T13:48:00Z,7/29/11 10:00 AM to 1:45 PM,Unknown person took spare tires from two workmen's trucks parked on the street,Open,A00490,2011-07-29T10:00:00Z,2011-07-29T13:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78525115,-87.5903205
theft,hyde park at 55th,NA,2011-07-29T22:06:00Z,7/29/11 10:00 PM,Unknown man grabbed cell phone from the hand of a woman standing at a bus stop and ran off,Open,A00491,2011-07-29T22:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7952081,-87.5839381
robbery,57th between woodlawn & kimbark,NA,2011-07-30T03:32:00Z,7/30/11 2:50 AM,"Unknown male, armed with a handgun, took property from a man walking on the sidewalk",Open,A00492,2011-07-30T02:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,41.7914306,-87.59564755
possession of cannabis,5462 s. kenwood,nichols park,2011-07-30T11:10:00Z,7/30/11 11:10 AM,UCPD officers arrested a man for possession of marijuana,Arrest,A00493,2011-07-30T11:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7971087,-87.5934138
other crime,blackstone between 57th & 58th,NA,2011-07-30T14:22:00Z,7/30/11 2:22 PM,UCPD officers arrested a man wanted on a warrant,Arrest,A00494,2011-07-30T14:22:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.79056575,-87.5902304
robbery,55th at dorchester,NA,2011-07-31T02:45:00Z,7/31/11 2:40 AM,"Man, armed with a handgun, took cell phone from a man walking on the sidewalk",Open,A00495,2011-07-31T02:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,41.7955065,-87.5916808
possession of cannabis,5327 s. blackstone,spruce park,2011-07-31T12:39:00Z,7/31/11 12:39 PM,UCPD officers arrested a man for possession of marijuana,Arrest,A00496,2011-07-31T12:39:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.798277,-87.5900839
robbery,woodlawn between 55th & 56th,NA,2011-07-31T13:36:00Z,7/31/11 2:00 AM,"Man, armed with a handgun took cell phones and cash from a man and woman walking on the sidewalk",Open,A00497,2011-07-31T02:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,41.7941589,-87.596524
battery,901 e. 58th st.,mitchell er,2011-07-31T13:55:00Z,7/31/11 1:55 PM,A HIV positive patient spit in the face of UCPD officer assisting medical staff in restraining the patient,Arrest,A00498,2011-07-31T13:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,41.7891364,-87.6040574
robbery,54th between woodlawn & kimbark,NA,2011-07-31T22:32:00Z,7/31/11 10:32 PM,"Unknown man, armed with a handgun, took a wallet and cell phone from a man walking in the alley",Open,A00499,2011-07-31T22:32:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,41.797976,-87.59580245
theft,6045 s. kenwood,bike rack,2011-08-01T13:48:00Z,7/29/11 to 8/1/11 4:30 PM to 10:00 AM,Unknown person cut lock and took bicycle from bike rack,Open,A00500,2011-07-29T16:30:00Z,2011-08-01T10:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7847535,-87.592671
theft,1212 e. 59th st.,ida noyes,2011-08-01T15:13:00Z,4/18/11 5:00 PM to 10:00 PM,"Unknown person took a Dell monitor, docking station, and keyboard from room 223",Open,A00501,2011-04-18T17:00:00Z,2011-04-18T22:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7880702,-87.5956216
possession of controlled substances,drexel at 52nd,NA,2011-08-01T21:59:00Z,8/1/11 9:59 PM,UCPD officers arrested two men for possession of a variety of suspected controlled narcotics,Arrest,A00502,2011-08-01T21:59:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.8004593,-87.6039451
burglary,cornell between 52nd & 53rd,NA,2011-08-01T23:20:00Z,8/1/11 10:45 AM to 11:00 PM,"Unknown person(s) entered residential apartment and took a 46"" Philips TV, and a MacBook laptop computer / No signs of forced entry",Open,A00503,2011-08-01T10:45:00Z,2011-08-01T23:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7791714,-87.58504325
theft,woodlawn between 54th & 55th,NA,2011-08-02T11:58:00Z,8/2/11 11:45 AM,Unknown male took $10 from a man walking on the street / Suspect fled on a bicycle,Open,A00504,2011-08-02T11:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79651155,-87.59658305
possession of cannabis,ellis between 57th & 58th,NA,2011-08-02T15:23:00Z,8/2/11 3:23 PM,UCPD officer arrested a man for possession of marijuana,Arrest,A00505,2011-08-02T15:23:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7904679,-87.6012804
theft,900 e. 57th st.,knapp center,2011-08-02T15:20:00Z,8/2/11 8:00 AM to 1:15 PM,Wallet taken from purse placed in unlocked drawer in work cubicle / Subsequent unauthorized use of credit card reported,Open,A00506,2011-08-02T08:00:00Z,2011-08-02T13:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
theft,cottage grove between 58th & 59th,NA,2011-08-02T17:03:00Z,8/2/11 6:00 AM to 3:35 PM,Unknown person(s) took motorcycle that was parked on the street,Open,A00507,2011-08-02T06:00:00Z,2011-08-02T15:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7885956,-87.6060875
miscellaneous,dorchester at 51st,NA,2011-08-02T20:50:00Z,8/2/11 8:50 PM,Complainant reported vehicle taken from the street / Vehicle had been towed by City of Chicago,Closed,A00508,2011-08-02T20:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.793602,-87.592144
robbery,drexel between 54th & 55th,NA,2011-08-03T01:36:00Z,8/3/11 1:20 AM,"Two men, one armed with a handgun, took property from two men walking on the sidewalk / Arrest made in relation to this incident",Arrest,A00509,2011-08-03T01:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,41.79608325,-87.603828
fraud,5500 s. woodlawn,NA,2011-08-03T13:05:00Z,8/3/11 8:50 AM to 1:00 PM,Unknown person gained access to complainant's credit card and made unauthorized purchases,Open,A00512,2011-08-03T08:50:00Z,2011-08-03T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7948135,-87.5975445
theft,1131 e. 57th st.,hutchinson commons,2011-08-03T13:16:00Z,8/3/11 1:00 PM to 1:15 PM,"Back pack containing computer, cell phone, and books, placed on floor next to chair was taken by an unknown person",Open,A00513,2011-08-03T13:00:00Z,2011-08-03T13:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791237,-87.5982604
traffic accident,6054 s. drexel,parking structure,2011-08-03T13:25:00Z,8/3/11 1:25 PM,Traffic Collision Report,Closed,A00514,2011-08-03T13:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,ellis between 61st & 62nd,NA,2011-08-03T19:27:00Z,8/2/11 to 8/3/11 11:30 PM to 9:00 AM,Unknown person cut metal fence and took bicycle that was locked to the fence in front of residence,Open,A00516,2011-08-02T23:30:00Z,2011-08-03T09:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78318105,-87.6011243
theft,5841 s. maryland,mitchell hospital,2011-08-03T19:47:00Z,8/3/11 5:55 PM to 6:10 PM,HP IPAQ hand-held computer and master keys taken from desktop in unsecured office,Open,A00517,2011-08-03T17:55:00Z,2011-08-03T18:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7883128,-87.6045656
theft,924 e. 57th st.,bslc bike rack,2011-08-03T19:50:00Z,8/3/11 6:30 PM to 6:50 PM,Unknown person cut lock and took bicycle from bike rack,Open,A00515,2011-08-03T18:30:00Z,2011-08-03T18:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,900 e. 57th st.,knapp center,2011-08-03T21:48:00Z,8/3/2011  9:30:00 PM to 9:45 PM,Unattended computer power cord taken from common area lounge,Open,A00518,2011-08-03T00:00:00Z,2011-08-03T21:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
theft,54th between university and woodlawn,NA,2011-08-04T20:58:00Z,8/4/11 8:58 PM,UCPD officers arrested three males who had taken bicycles from bike rack at residential apartment building,Arrest,A00520,2011-08-04T20:58:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.79480495,-87.6000086
theft,900 e. 57th st.,knapp center,2011-08-05T13:35:00Z,8/5/11 12:00 PM to 1:30 PM,"Unknown person took cash, I.D. cards, and credit cards from unattended purse left in unsecured office / Subsequent unauthorized use of credit card reported",Open,A00521,2011-08-05T12:00:00Z,2011-08-05T13:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
theft,900 e. 57th st.,knapp center,2011-08-05T13:32:00Z,8/5/11 12:00 PM to 1:30 PM,Unknown person took unattended back pack from unsecured office/ Subsequent unauthorized use of credit card reported,Open,A00522,2011-08-05T12:00:00Z,2011-08-05T13:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
lost property,1100 e. 57th st.,regenstein library,2011-08-05T15:30:00Z,8/5/11 11:00 AM to 1:45 PM,RTA bus pass missing from woman's bag,Closed,A00523,2011-08-05T11:00:00Z,2011-08-05T13:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
traffic violation,ellis between 53rd & 54th,NA,2011-08-05T23:55:00Z,8/5/11 11:55 PM,UCPD officers arrested a motorist for driving without a driver's license,Arrest,A00000,2011-08-05T23:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.79865465,-87.60129275
trespassing,6043 s. drexel,construction site,2011-08-06T04:15:00Z,8/6/11 4:15 AM,UCPD officers arrested man for trespassing at construction site,Arrest,A00524,2011-08-06T04:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7847073,-87.6044554
theft,53rd between blackstone & harper,NA,2011-08-06T16:00:00Z,8/6/11 4:00 PM,Man ran out of retail establishment with an MP3 player without paying / Arrested by UCPD officers after a brief chase,Arrest,A00525,2011-08-06T16:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.799513,-87.5897729
robbery,university between 51st & 52nd,NA,2011-08-07T02:34:00Z,8/7/11 2:15 AM,"A man walking on the sidewalk was struck in the face by one of three unknown men who took his wallet, cell phone, and keys before fleeing",Open,A00526,2011-08-07T02:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7886079,-87.5987133
public peace violation,970 e. 58th st.,book store,2011-08-07T11:51:00Z,8/7/11 11:51 AM,UCPD officer arrested a male subject wanted on a warrant,Arrest,A00527,2011-08-07T11:51:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7897352,-87.6015376
found property,6054 s. drexel,parking structure,2011-08-07T15:51:00Z,8/7/11 7:00 AM,UCPD officer found an Illinois license plate on floor of the parking structure / Turned over to CPD,Closed,A00528,2011-08-07T07:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
traffic violation,6000 s. ellis,NA,2011-08-07T20:50:00Z,8/7/11 8:50 PM,UCPD officer arrested a motorist for driving without a driver's license and no proof of insurance,Arrest,A00000,2011-08-07T20:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7853698,-87.6011668
weapon violation,55th & morgan,washington park,2011-08-08T00:02:00Z,8/8/11 12:02 AM,UCPD officers stopped vehicle for traffic violations / Arrested convicted felon for possession of a firearm / Arrested driver for traffic violation,Arrest,A00529,2011-08-08T00:02:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7936098,-87.65502
possession of cannabis,lake park at 53rd,NA,2011-08-08T01:30:00Z,8/8/11 1:30 AM,UCPD officers arrested  a man for possession of suspected marijuana,Arrest,A00530,2011-08-08T01:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7995452,-87.5873447
damage to property,53rd between blackstone & harper,NA,2011-08-08T15:58:00Z,8/5/11 2:25 to 2:35 AM,Unknown person painted graffiti on entry door to retail establishment,Open,A00531,2011-08-05T02:25:00Z,2011-08-05T02:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.799513,-87.5897729
burglary,madison park between kimbark & kenwood,NA,2011-08-08T18:59:00Z,8/8/11 7:00 AM to 6:55 PM,Unknown person(s) gained entry to apartment via open window / Took jewelry and jewelry box,Open,A00533,2011-08-08T07:00:00Z,2011-08-08T18:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.802964,-87.5933206
battery,53rd between woodlawn & kimbark,alley,2011-08-08T20:57:00Z,8/8/11 8:55 PM,Man struck by BB pellet while walking in alley / Arrest,Arrest,A00534,2011-08-08T20:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7994513,-87.59583085
possession of cannabis,harper at 53rd,NA,2011-08-09T14:46:00Z,8/9/11 2:46 PM,UCPD officers arrested a man for possession of suspect marijuana and a warrant,Arrest,A00535,2011-08-09T14:46:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7995233,-87.589095
lost property,1135 e. 57th st.,hutchinson commons,2011-08-09T22:48:00Z,8/8/11 1:30 PM to 1:35 PM,Complainant reported losing her wallet that had been in pants pocket,Closed,A00536,2011-08-08T13:30:00Z,2011-08-08T13:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912374,-87.5981581
theft,56th at everett,NA,2011-08-10T08:07:00Z,8/9/11 to 8/10/11 6:30 PM to 7:30 AM,Unknown person cut U-lock that secured bicycle to city sign post on the street and took bike,Open,A00537,2011-08-09T18:30:00Z,2011-08-10T07:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7934453,-87.5820682
injured person,5530 s. ellis,ratner a.c.,2011-08-10T10:28:00Z,8/9/11 8:30 PM,Man slipped on exercise mat and injured his left knee / Treated at ER,Closed,A00538,2011-08-09T20:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7940762,-87.6017077
theft,929 e. 57th st.,gordon center,2011-08-10T13:32:00Z,8/10/11 11:00 AM to 1:00 PM,Unknown person took credit cards from wallet in unattended purse left on desk top in unsecured office / Subsequent unauthorized use of credit cards reported,Open,A00539,2011-08-10T11:00:00Z,2011-08-10T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
theft,54th between woodlawn & kimbark,NA,2011-08-10T20:04:00Z,8/10/11 8:00 PM,Unknown male grabbed cell phone from woman on the street / Suspect dropped phone that was recovered by victim / Second male took victim's unattended back pack,Open,A00540,2011-08-10T20:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.797976,-87.59580245
possession of controlled substance,53rd between woodlawn & kimbark,parking lot,2011-08-10T22:28:00Z,8/10/11 10:28 PM,UCPD officers arrested a male for possession of suspect heroin and possession of drug paraphernalia,Arrest,A00541,2011-08-10T22:28:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7994513,-87.59583085
possession of cannabis,cottage grove at 64th,NA,2011-08-10T23:23:00Z,8/10/11 11:23 PM,UCPD officers arrested a man for possession of suspect marijuana,Arrest,A00542,2011-08-10T23:23:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7785819,-87.6058985
theft,929 e. 57th st.,gordon center,2011-08-11T10:28:00Z,8/9/11 2:00 PM to 3:00 PM,Unknown person took unattended laptop from desk in unsecured office,Open,A00543,2011-08-09T14:00:00Z,2011-08-09T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
robbery,52nd between cottage grove & drexel,NA,2011-08-11T20:20:00Z,8/11/11 8:28 PM,Unknown male implied he had a weapon took property from a woman walking on the sidewalk / No weapon was displayed,Open,A00544,2011-08-11T20:28:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,41.8004391,-87.6051509
traffic accident,ellis between 57th & 58th,NA,2011-08-12T09:49:00Z,8/12/11 9:49 AM,Property damage traffic crash,Closed,A00545,2011-08-12T09:49:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7904679,-87.6012804
traffic accident,53rd between kimbark & kenwood,NA,2011-08-12T11:59:00Z,8/12/11 11:55 AM,Property damage traffic crash,Closed,A00546,2011-08-12T11:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7994717,-87.59378395
lost property,unknown,NA,2011-08-12T23:05:00Z,8/9/11 to 8/12/11 7:00 PM to 11:00 PM,Man reported lost wallet and identification,Closed,A00547,2011-08-09T19:00:00Z,2011-08-12T23:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8781136,-87.6297982
other offense,drexel at 54th,NA,2011-08-12T23:54:00Z,8/12/11 11:53 PM,UCPD officers arrested a man wanted on a warrant,Arrest,A00548,2011-08-12T23:53:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7968194,-87.603861
traffic violation,midway pl. at dorchester,NA,2011-08-13T02:03:00Z,8/13/11 2:03 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,A00000,2011-08-13T02:03:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7605383,-87.5908348
